date,Mkt.RF,SMB,HML,RF
20170103,0.83,-0.11,0.08,0.002
20170104,0.79,0.95,-0.15,0.002
20170105,-0.21,-0.87,-0.8,0.002
20170106,0.29,-0.62,-0.31,0.002
20170109,-0.37,-0.27,-1.04,0.002
20170110,0.16,0.97,0.56,0.002
20170111,0.31,-0.32,0.53,0.002
20170112,-0.3,-0.57,-0.88,0.002
20170113,0.29,0.63,-0.08,0.002
20170117,-0.49,-0.86,-0.59,0.002
20170118,0.24,0.18,0.24,0.002
20170119,-0.38,-0.5,-0.04,0.002
20170120,0.33,0.07,0.19,0.002
20170123,-0.29,-0.02,-0.31,0.002
20170124,0.83,0.68,0.81,0.002
20170125,0.84,0.16,0.36,0.002
20170126,-0.1,-0.62,0.38,0.002
20170127,-0.12,0.03,-0.66,0.002
20170130,-0.68,-0.72,-0.42,0.002
20170131,0,0.88,-0.55,0.002
20170201,0.04,-0.04,0.03,0.002
20170202,-0.02,-0.26,-0.31,0.002
20170203,0.82,0.55,0.64,0.002
20170206,-0.27,-0.57,-0.2,0.002
20170207,-0.01,-0.3,-0.52,0.002
20170208,0.06,-0.24,-0.53,0.002
20170209,0.72,0.7,0.02,0.002
20170210,0.38,0.39,0.12,0.002
20170213,0.49,-0.32,0.32,0.002
20170214,0.45,-0.23,0.33,0.002
20170215,0.54,0.19,-0.44,0.002
20170216,-0.16,-0.21,-0.03,0.002
20170217,0.2,-0.01,-0.57,0.002
20170221,0.6,-0.04,0.13,0.002
20170222,-0.15,-0.37,0.11,0.002
20170223,-0.11,-0.68,0.26,0.002
20170224,0.15,0.04,-0.92,0.002
20170227,0.22,0.82,-0.34,0.002
20170228,-0.42,-1.38,0.2,0.002
20170301,1.47,0.43,0.72,0.001
20170302,-0.7,-0.53,-0.88,0.001
20170303,0.09,-0.21,0.13,0.001
20170306,-0.38,-0.36,-0.1,0.001
20170307,-0.36,-0.29,-0.05,0.001
20170308,-0.19,-0.1,-0.82,0.001
20170309,0.04,-0.46,-0.27,0.001
20170310,0.34,0.1,-0.38,0.001
20170313,0.13,0.33,-0.03,0.001
20170314,-0.36,-0.23,0.02,0.001
20170315,0.86,0.73,-0.41,0.001
20170316,-0.06,0.45,0.24,0.001
20170317,-0.08,0.62,-0.26,0.001
20170320,-0.25,-0.07,-0.75,0.001
20170321,-1.48,-1.34,-0.69,0.001
20170322,0.16,-0.3,-0.54,0.001
20170323,-0.03,0.69,0.46,0.001
20170324,-0.05,0.13,-0.23,0.001
20170327,-0.05,0.56,-0.52,0.001
20170328,0.72,-0.15,0.71,0.001
20170329,0.18,0.39,-0.06,0.001
20170330,0.36,0.33,0.92,0.001
20170331,-0.16,0.57,-0.3,0.001
20170403,-0.28,-1.1,-0.11,0.003
20170404,0.05,-0.23,0.31,0.003
20170405,-0.44,-0.79,-0.31,0.003
20170406,0.32,0.69,0.5,0.003
20170407,-0.08,0.14,-0.26,0.003
20170410,0.08,0.1,0.1,0.003
20170411,-0.05,0.81,0.25,0.003
20170412,-0.49,-0.85,-0.54,0.003
20170413,-0.75,-0.23,-0.79,0.003
20170417,0.89,0.24,0.22,0.003
20170418,-0.25,0.36,-0.16,0.003
20170419,-0.08,0.6,-0.39,0.003
20170420,0.83,0.52,0.27,0.003
20170421,-0.28,0.1,-0.14,0.003
20170424,1.18,0.17,0.51,0.003
20170425,0.66,0.36,-0.05,0.003
20170426,0.04,0.7,0.31,0.003
20170427,0.05,-0.13,-0.96,0.003
20170428,-0.3,-0.67,-0.6,0.003
20170501,0.21,0.27,-0.13,0.003
20170502,0.03,-0.46,-0.21,0.003
20170503,-0.19,-0.54,0.2,0.003
20170504,0.02,-0.06,-0.36,0.003
20170505,0.46,0.06,0.05,0.003
20170508,-0.04,-0.27,0.28,0.003
20170509,-0.05,0.51,-0.78,0.003
20170510,0.21,0.19,0.02,0.003
20170511,-0.26,-0.36,-0.15,0.003
20170512,-0.18,-0.29,-0.61,0.003
20170515,0.53,0.25,0.2,0.003
20170516,-0.03,0.16,-0.09,0.003
20170517,-1.97,-0.89,-0.54,0.003
20170518,0.4,0.06,-0.39,0.003
20170519,0.7,-0.39,0.4,0.003
20170522,0.56,0.28,-0.3,0.003
20170523,0.18,-0.07,0.61,0.003
20170524,0.24,-0.15,-0.49,0.003
20170525,0.42,-0.27,-0.77,0.003
20170526,0.06,-0.02,0.09,0.003
20170530,-0.19,-0.5,-0.32,0.003
20170531,-0.02,0.03,-0.56,0.003
20170601,0.95,0.97,0.03,0.003
20170602,0.35,0.56,-0.77,0.003
20170605,-0.17,-0.45,0,0.003
20170606,-0.28,0.1,-0.06,0.003
20170607,0.15,-0.19,0.01,0.003
20170608,0.18,1.16,0.92,0.003
20170609,-0.12,0,2.37,0.003
20170612,-0.11,-0.27,0.36,0.003
20170613,0.55,0.08,-0.14,0.003
20170614,-0.17,-0.47,-0.55,0.003
20170615,-0.3,-0.24,-0.12,0.003
20170616,-0.03,-0.23,-0.18,0.003
20170619,0.86,0.12,-0.74,0.003
20170620,-0.73,-0.4,-0.51,0.003
20170621,-0.07,-0.04,-1.68,0.003
20170622,0.02,0.52,-0.42,0.003
20170623,0.24,0.83,-0.5,0.003
20170626,0.04,-0.06,0.68,0.003
20170627,-0.84,-0.4,1.32,0.003
20170628,1.02,0.75,0.22,0.003
20170629,-0.83,-0.12,1.38,0.003
20170630,0.14,-0.09,-0.25,0.003
20170703,0.24,0.34,1.2,0.004
20170705,0.12,-0.69,-0.55,0.004
20170706,-0.95,-0.5,0.12,0.004
20170707,0.7,0.42,-0.41,0.004
20170710,0.05,-0.43,-0.09,0.004
20170711,0,0.38,-0.53,0.004
20170712,0.72,0.13,-0.53,0.004
20170713,0.17,-0.05,0.37,0.004
20170714,0.42,-0.13,-0.5,0.004
20170717,0,0.21,0.13,0.004
20170718,0.04,-0.3,-0.33,0.004
20170719,0.59,0.53,0.04,0.004
20170720,-0.01,0.05,-0.01,0.004
20170721,-0.08,-0.41,-0.28,0.004
20170724,-0.03,0.12,-0.2,0.004
20170725,0.38,0.37,0.92,0.004
20170726,-0.06,-0.35,-0.7,0.004
20170727,-0.14,-0.64,0.43,0.004
20170728,-0.17,-0.06,0.23,0.004
20170731,-0.11,-0.33,0.44,0.004
20170801,0.24,-0.24,0.18,0.004
20170802,-0.08,-1.17,0.16,0.004
20170803,-0.21,-0.34,-0.29,0.004
20170804,0.25,0.3,0.36,0.004
20170807,0.16,-0.09,-0.59,0.004
20170808,-0.24,-0.1,0.21,0.004
20170809,-0.14,-0.77,-0.12,0.004
20170810,-1.49,-0.31,0.24,0.004
20170811,0.2,0.24,-0.86,0.004
20170814,1.03,0.26,0.05,0.004
20170815,-0.11,-0.85,-0.03,0.004
20170816,0.18,-0.12,-0.45,0.004
20170817,-1.59,-0.17,-0.16,0.004
20170818,-0.15,0.15,0.21,0.004
20170821,0.06,-0.25,-0.22,0.004
20170822,1.07,-0.01,-0.25,0.004
20170823,-0.32,0.1,0.41,0.004
20170824,-0.14,0.59,0.18,0.004
20170825,0.18,0.12,0.57,0.004
20170828,0.08,0.35,-0.74,0.004
20170829,0.1,0.13,-0.39,0.004
20170830,0.53,0.02,-0.31,0.004
20170831,0.62,0.47,-0.42,0.004
20170901,0.27,0.41,0.45,0.005
20170905,-0.81,0.1,-0.96,0.005
20170906,0.28,-0.02,0.13,0.005
20170907,-0.07,0.15,-0.94,0.005
20170908,-0.16,0.04,0.36,0.005
20170911,1.08,-0.12,0.63,0.005
20170912,0.43,0.24,0.71,0.005
20170913,0.11,0.31,0.36,0.005
20170914,-0.12,-0.04,-0.06,0.005
20170915,0.19,0.28,0.12,0.005
20170918,0.24,0.37,0.21,0.005
20170919,0.15,-0.28,0.35,0.005
20170920,0.16,0.22,0.5,0.005
20170921,-0.28,0.1,0.37,0.005
20170922,0.12,0.44,0.13,0.005
20170925,-0.25,0.31,0.63,0.005
20170926,0.05,0.39,0.13,0.005
20170927,0.63,1.39,0.18,0.005
20170928,0.13,0.16,-0.07,0.005
20170929,0.35,-0.12,-0.28,0.005
20171002,0.5,0.84,0.16,0.004
20171003,0.26,-0.03,-0.02,0.004
20171004,0.05,-0.28,-0.44,0.004
20171005,0.55,-0.34,0.35,0.004
20171006,-0.08,-0.08,-0.25,0.004
20171009,-0.22,-0.27,-0.04,0.004
20171010,0.24,-0.01,0.42,0.004
20171011,0.16,-0.2,-0.21,0.004
20171012,-0.18,0.04,-0.51,0.004
20171013,0.04,-0.23,0.1,0.004
20171016,0.17,-0.28,0.36,0.004
20171017,0.01,-0.35,-0.32,0.004
20171018,0.14,0.3,0.21,0.004
20171019,0.02,-0.39,0.17,0.004
20171020,0.57,-0.07,0.28,0.004
20171023,-0.45,-0.42,0.12,0.004
20171024,0.2,-0.18,0.47,0.004
20171025,-0.51,-0.01,0.11,0.004
20171026,0.2,0.04,0.22,0.004
20171027,0.82,-0.02,-1,0.004
20171030,-0.46,-0.78,-0.05,0.004
20171031,0.23,0.81,-0.22,0.004
20171101,0.05,-0.81,0.14,0.004
20171102,0.06,-0.03,0.5,0.004
20171103,0.31,-0.41,-0.66,0.004
20171106,0.06,0.2,0.19,0.004
20171107,-0.2,-1.36,-0.39,0.004
20171108,0.12,0.06,-0.62,0.004
20171109,-0.41,-0.02,0.22,0.004
20171110,0.01,0.05,-0.38,0.004
20171113,0.09,-0.29,0.02,0.004
20171114,-0.22,-0.13,0,0.004
20171115,-0.52,-0.05,0.24,0.004
20171116,1.01,0.85,-0.52,0.004
20171117,-0.14,0.75,0.29,0.004
20171120,0.21,0.57,0.01,0.004
20171121,0.67,0.41,-0.36,0.004
20171122,-0.05,0.1,-0.04,0.004
20171124,0.21,0.02,-0.44,0.004
20171127,-0.06,-0.36,0.03,0.004
20171128,1.06,0.38,0.84,0.004
20171129,0.02,0.04,1.45,0.004
20171130,0.82,-0.56,-0.5,0.004
20171201,-0.22,-0.37,0.36,0.004
20171204,-0.1,-0.35,1.22,0.004
20171205,-0.43,-0.44,-0.24,0.004
20171206,-0.09,-0.45,-0.51,0.004
20171207,0.42,0.25,-0.17,0.004
20171208,0.51,-0.44,-0.14,0.004
20171211,0.26,-0.41,-0.15,0.004
20171212,0.07,-0.52,0.52,0.004
20171213,0.02,0.72,-0.88,0.004
20171214,-0.47,-0.69,-0.22,0.004
20171215,0.92,0.68,0.03,0.004
20171218,0.67,0.75,0.26,0.004
20171219,-0.3,-0.36,-0.26,0.004
20171220,0.01,0.36,0.05,0.004
20171221,0.23,0.27,0.62,0.004
20171222,-0.07,-0.22,-0.2,0.004
20171226,-0.07,0.33,-0.06,0.004
20171227,0.05,-0.13,-0.19,0.004
20171228,0.22,0.12,0.03,0.004
20171229,-0.57,-0.31,0.02,0.004